FUND,Date,Direction,Ticker,CUSIP,Name,Shares,% of ETF,,,,,,,,
ARKF,11/9/2020,Buy,DOCU,256163106,DOCUSIGN INC,"20,335",0.4089,,,,,,,,
ARKF,11/9/2020,Buy,Z,98954M200,ZILLOW GROUP INC,"49,345",0.5058,,,,,,,,
ARKF,11/9/2020,Buy,SHOP,82509L107,SHOPIFY INC,"3,957",0.3549,,,,,,,,
ARKF,11/9/2020,Buy,WDAY,98138H101,WORKDAY INC,"13,684",0.3014,,,,,,,,
ARKF,11/9/2020,Sell,ZS,98980G102,ZSCALER INC,"34,824",0.4467,,,,,,,,
ARKF,11/9/2020,Sell,SNAP,83304A106,SNAP INC,"59,984",0.2469,,,,,,,,
ARKF,11/9/2020,Sell,PINS,72352L106,PINTEREST INC,"87,042",0.5006,,,,,,,,
ARKF,11/9/2020,Sell,MELI,58733R102,MERCADOLIBRE INC,"2,723",0.3604,,,,,,,,
ARKG,11/9/2020,Buy,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,"95,000",0.1074,,,,,,,,
ARKG,11/9/2020,Buy,TDOC,87918A105,TELADOC HEALTH INC,"41,794",0.2595,,,,,,,,
ARKG,11/9/2020,Sell,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,"46,851",0.0142,,,,,,,,
ARKG,11/9/2020,Sell,CGEN,M25722105,COMPUGEN LTD,"13,828",0.0059,,,,,,,,
ARKK,11/9/2020,Buy,TWST,90184D100,TWIST BIOSCIENCE CORP,"114,128",0.0993,,,,,,,,
ARKK,11/9/2020,Buy,TDOC,87918A105,TELADOC HEALTH INC,"152,114",0.2606,,,,,,,,
ARKK,11/9/2020,Buy,ROKU,77543R102,ROKU INC,"98,218",0.2117,,,,,,,,
ARKK,11/9/2020,Buy,NTDOY,654445303,NINTENDO CO LTD,"242,700",0.1526,,,,,,,,
ARKK,11/9/2020,Buy,DOCU,256163106,DOCUSIGN INC,"104,719",0.2106,,,,,,,,
ARKK,11/9/2020,Sell,FB,30303M102,FACEBOOK INC,"343,311",0.9222,,,,,,,,
ARKK,11/9/2020,Sell,DOYU,25985W105,DOUYU INTERNATIONAL HOLDINGS LTD,670,0.0001,,,,,,,,
ARKK,11/9/2020,Sell,XONE,302104104,EXONE CO/THE,"21,581",0.0022,,,,,,,,
ARKK,11/9/2020,Sell,ZS,98980G102,ZSCALER INC,"78,816",0.0992,,,,,,,,
ARKQ,11/9/2020,Buy,ADSK,52769106,AUTODESK INC,"6,532",0.2045,,,,,,,,
ARKQ,11/9/2020,Buy,ANSS,03662Q105,ANSYS INC,"12,981",0.5049,,,,,,,,
ARKW,11/9/2020,Buy,TDOC,87918A105,TELADOC HEALTH INC,"41,570",0.2601,,,,,,,,
ARKW,11/9/2020,Buy,NET,18915M107,CLOUDFLARE INC,"249,700",0.5182,,,,,,,,
ARKW,11/9/2020,Buy,DOCU,256163106,DOCUSIGN INC,"29,865",0.2092,,,,,,,,
ARKW,11/9/2020,Sell,FB,30303M102,FACEBOOK INC,"49,535",0.4588,,,,,,,,
ARKW,11/9/2020,Sell,PINS,72352L106,PINTEREST INC,"66,113",0.129,,,,,,,,
ARKW,11/9/2020,Sell,SNAP,83304A106,SNAP INC,"87,337",0.1212,,,,,,,,
ARKW,11/9/2020,Sell,TTD,88339J105,TRADE DESK INC/THE,"9,903",0.2546,,,,,,,,
ARKG,11/10/2020,Buy,ARCT,03969T109,ARCTURUS THERAPEUTICS HOLDINGS INC,"161,334",0.1919,,,,,,,,
ARKG,11/10/2020,Buy,CSTL,14843C105,CASTLE BIOSCIENCES INC,"12,599",0.0201,,,,,,,,
ARKG,11/10/2020,Buy,INCY,45337C102,INCYTE CORP,"76,938",0.2062,,,,,,,,
ARKG,11/10/2020,Buy,TDOC,87918A105,TELADOC HEALTH INC,"35,533",0.1946,,,,,,,,
ARKG,11/10/2020,Sell,CGEN,M25722105,COMPUGEN LTD,"34,700",0.0144,,,,,,,,
