FUND,Date,Direction,Ticker,CUSIP,Company,Shares,% of ETF
ARKG,1/4/2021,Buy,BLI,84310101,BERKELEY LIGHTS INC,"12,258",0.0133
ARKG,1/4/2021,Buy,VEEV,922475108,VEEVA SYSTEMS INC,"31,937",0.1145
ARKG,1/4/2021,Buy,TDOC,87918A105,TELADOC HEALTH INC,"97,892",0.2518
ARKG,1/4/2021,Buy,RHHBY,771195104,ROCHE HOLDING AG,"165,885",0.0952
ARKG,1/4/2021,Buy,REGN,75886F107,REGENERON PHARMACEUTICALS INC,"25,566",0.1631
ARKG,1/4/2021,Buy,NVS,66987V109,NOVARTIS AG,"145,574",0.1797
ARKK,1/4/2021,Sell,XONE,302104104,EXONE CO/THE,"4,875",0.0003
ARKQ,1/4/2021,Buy,TRMB,896239100,TRIMBLE INC,"34,318",0.1316
ARKQ,1/4/2021,Buy,RAVN,754212108,RAVEN INDUSTRIES INC,"8,641",0.0161
ARKQ,1/4/2021,Buy,NVDA,67066G104,NVIDIA CORP,"16,311",0.4972
ARKQ,1/4/2021,Buy,KTOS,50077B207,KRATOS DEFENSE & SECURITY SOLUTIONS INC,"44,500",0.0681
ARKQ,1/4/2021,Buy,JD,47215P106,JD.COM INC,"49,724",0.2488
ARKQ,1/4/2021,Sell,SPLK,848637104,SPLUNK INC,"51,534",0.4987
ARKQ,1/4/2021,Sell,FLIR,302445101,FLIR SYSTEMS INC,"392,957",1.1922
ARKW,1/4/2021,Buy,SKLZ,83067L109,SKILLZ INC,"215,897",0.0747
ARKW,1/4/2021,Buy,OPEN,683712103,OPENDOOR TECHNOLOGIES INC,"123,520",0.0547
ARKW,1/4/2021,Buy,NVDA,67066G104,NVIDIA CORP,"49,887",0.4959
ARKW,1/4/2021,Buy,NFLX,64110L106,NETFLIX INC,"25,326",0.2479
ARKW,1/4/2021,Sell,ROKU,77543R102,ROKU INC,"113,600",0.6852
ARKW,1/4/2021,Sell,U,91332U101,UNITY SOFTWARE INC,"118,893",0.3222
